Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
MarQuel Mederos,77 (92%),7 (8%),0 (0%),6 (75%),2 (25%),0 (0%),Active,"Denver, United States",,MMA,27,70.00,173.00,"Feb. 3, 2024",69.50,40.00,Lightweight Division,man
Tim Means,1106 (77%),200 (14%),139 (10%),20 (61%),8 (24%),5 (15%),Active,"Wilburton, United States","FIT NHB Albuquerque, NM",Striker,39,74.00,170.50,"Feb. 15, 2012",75.00,43.50,Welterweight Division,man
Terrance McKinney,68 (51%),23 (17%),42 (32%),7 (47%),0 (0%),8 (53%),Active,United States,Warrior Camp,MMA,28,70.00,165.00,"Jun. 12, 2021",73.50,40.00,Lightweight Division,man
Cory McKenna,150 (75%),14 (7%),35 (18%),2 (25%),4 (50%),2 (25%),Active,Wales,Team Alpha Male,MMA,24,63.00,115.50,"Nov. 14, 2020",58.50,36.00,Women's Strawweight Division,women
Rhys McKee,187 (93%),11 (5%),3 (1%),7 (70%),0 (0%),3 (30%),Active,"Ballymena, Ireland",,,27,74.00,179.00,"Jul. 25, 2020",78.00,42.00,Welterweight Division,man
Sean Mcinerney,,,,,,,Active,,,,36,,,"Mar. 13, 2024",,,,man
Conor McGregor,461 (77%),61 (10%),77 (13%),19 (86%),2 (9%),1 (5%),Active,"Dublin, Ireland",SBG Ireland,,34,69.00,156.00,"Apr. 6, 2013",74.00,40.00,Lightweight Division,man
Marcus McGhee,80 (82%),6 (6%),11 (11%),8 (89%),0 (0%),1 (11%),Active,"Detroit, United States",The MMA Lab,Brazilian Jiu-Jitsu,33,68.00,135.50,"Apr. 29, 2023",69.00,38.00,Bantamweight Division,man
Court McGee,1056 (84%),80 (6%),115 (9%),5 (23%),11 (50%),6 (27%),Active,"Ogden, United States",Agema Jiu-Jitsu,Freestyle,38,71.00,170.50,"Jun. 19, 2010",75.50,41.50,Welterweight Division,man
Molly McCann,594 (83%),59 (8%),61 (9%),6 (43%),7 (50%),1 (7%),Active,"England, United Kingdom",NEXT Generation MMA,Boxer,33,64.00,120.50,"May. 27, 2018",62.00,37.00,Women's Strawweight Division,women
Don'Tale Mayes,335 (70%),78 (16%),64 (13%),7 (70%),3 (30%),0 (0%),Active,"Louisville, United States",Jackson Wink MMA Academy - NM,Boxing,31,78.00,262.50,"Aug. 29, 2017",81.00,44.00,Heavyweight Division,man
Miranda Maverick,345 (79%),28 (6%),62 (14%),1 (7%),6 (40%),8 (53%),Active,"Jefferson City, United States","Elevation Fight Team - Denver, CO",Jiu-Jitsu,26,63.50,126.00,"Jun. 27, 2020",65.50,38.00,Women's Flyweight Division,women
Connor Matthews,145 (94%),9 (6%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Fall River, United States",,,31,,145.50,"Mar. 30, 2024",,,Featherweight Division,man
Jake Matthews,482 (67%),49 (7%),184 (26%),6 (32%),6 (32%),7 (37%),Active,"Preston, Australia","XLR8 Traning Centre, Epping, Victoria, Australia",Freestyle,29,71.50,178.00,"Jun. 28, 2014",73.00,43.00,Welterweight Division,man
Eduardo Matias Torres,6 (75%),1 (13%),1 (13%),0 (0 %),0 (0 %),0 (0 %),Active,Chile,,,,,,"Mar. 13, 2024",,,Bantamweight Division,man
Tiffany Masters,16 (31%),14 (27%),22 (42%),1 (50%),0 (0%),1 (50%),Active,"Fond du Lac, United States",,,28,63.00,116.00,"Aug. 15, 2017",65.00,,Women's Strawweight Division,women
Kazuma Maruyama,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,30,,156.00,"Mar. 13, 2024",,,Lightweight Division,man
Jonathan Martinez,635 (81%),59 (7%),93 (12%),9 (50%),7 (39%),2 (11%),Active,"Los Angeles, United States",Factory X,Freestyle,29,68.00,136.00,"Oct. 27, 2018",70.00,37.50,Bantamweight Division,man
Melissa Martinez,37 (82%),6 (13%),2 (4%),5 (71%),2 (29%),0 (0%),Active,Mexico,,Striker,25,62.00,113.50,"Sep. 10, 2022",66.00,36.00,Women's Strawweight Division,women
Victor Martinez,145 (96%),6 (4%),0 (0%),8 (62%),5 (38%),0 (0%),Active,"San Juan, United States",,MMA,31,68.00,154.50,"Feb. 25, 2023",70.00,39.00,Lightweight Division,man
Michal Martinek,5 (63%),3 (38%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,33,,239.50,"Mar. 13, 2024",,,Heavyweight Division,man
Francis Marshall,131 (87%),2 (1%),17 (11%),0 (0%),2 (33%),4 (67%),Active,"Manasquan, United States",,Freestyle,24,69.00,146.00,"Dec. 3, 2022",72.00,42.00,Featherweight Division,man
Dallas Marron,,,,,,,Active,,,,,,,"Feb. 9, 2024",,,,man
Julian Marquez,198 (64%),67 (22%),46 (15%),6 (67%),0 (0%),3 (33%),Active,"Kansas City, United States",Factory X,MMA,33,74.00,186.00,"Aug. 1, 2017",72.00,41.00,Middleweight Division,man
Brendon Marotte,1 (100%),0 (0%),0 (0%),4 (50%),3 (38%),1 (13%),Active,United States,New England Cartel,Boxer,28,69.00,155.50,"Oct. 14, 2023",72.00,,Featherweight Division,man
Chepe Mariscal,64 (59%),34 (31%),11 (10%),6 (46%),4 (31%),3 (23%),Active,"Cicero, United States",,,30,67.00,154.00,"Jun. 24, 2023",69.00,38.00,Featherweight Division,man
Jesse Mariotti,,,,,,,Active,,,,26,,,"Mar. 13, 2024",,,,man
Daniel Marcos,226 (86%),29 (11%),8 (3%),8 (53%),7 (47%),0 (0%),Active,"Lima, Peru",,,30,67.00,151.50,"Jan. 21, 2023",69.00,40.00,Bantamweight Division,man
Marnic Mann,24 (89%),3 (11%),0 (0%),3 (50%),2 (33%),1 (17%),Active,"Kalispell, United States",,MMA,30,60.00,122.80,"Sep. 16, 2023",64.00,36.00,Women's Strawweight Division,women
Nate Maness,62 (52%),21 (18%),37 (31%),6 (40%),6 (40%),3 (20%),Active,"Jackson, United States",,,30,70.00,141.80,"Aug. 1, 2020",72.00,40.00,Flyweight Division,man
Mike Malott,126 (74%),9 (5%),35 (21%),4 (40%),0 (0%),6 (60%),Active,"Cleveland, United States",Niagara Top Team,MMA,32,73.00,182.00,"Apr. 9, 2022",73.00,41.00,Welterweight Division,man
Jacob Malkoun,142 (57%),12 (5%),97 (39%),2 (29%),5 (71%),0 (0%),Active,"Sydney, Australia",,MMA,27,69.00,185.50,"Oct. 24, 2020",73.00,38.00,Middleweight Division,man
Azat Maksum,82 (98%),2 (2%),0 (0%),5 (29%),5 (29%),7 (41%),Active,Kazakhstan,,Striker,28,67.00,137.50,"Jul. 15, 2023",70.00,39.00,Flyweight Division,man
Islam Makhachev,182 (50%),75 (21%),104 (29%),5 (20%),9 (36%),11 (44%),Active,"Dagestan Republic, Russia",AKA (American Kickboxing Academy) San Jose,Sambo,32,70.00,155.00,"May. 23, 2015",70.50,40.50,Lightweight Division,man
John Makdessi,1249 (93%),64 (5%),27 (2%),9 (50%),9 (50%),0 (0%),Active,"Halifax, Canada","Fight Ready - Scottsdale, AZ",Striker,38,68.00,154.50,"Dec. 12, 2010",68.00,38.50,Lightweight Division,man
Jennifer Maia,664 (85%),111 (14%),6 (1%),4 (20%),11 (55%),5 (25%),Active,"Curitiba, Brazil",,Muay Thai,34,64.00,125.00,"Jul. 14, 2018",64.00,38.00,Women's Flyweight Division,women
Nayara Maia,8 (89%),1 (11%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,32,,126.00,"Mar. 13, 2024",,,Women's Flyweight Division,women
Maheshate,107 (95%),5 (4%),1 (1%),4 (57%),3 (43%),0 (0%),Active,"Xinjiang, China",,Boxing,23,72.00,155.50,"Jun. 11, 2022",71.50,41.50,Lightweight Division,man
Abus Magomedov,88 (96%),2 (2%),2 (2%),14 (56%),5 (20%),6 (24%),Active,"Argun, Russia",,MMA,33,74.00,203.90,"Sep. 3, 2022",78.00,43.00,Middleweight Division,man
Shara Magomedov,74 (65%),15 (13%),24 (21%),10 (91%),1 (9%),0 (0%),Active,"Republic of Dagestan, Russia",,,29,73.98,201.00,"Oct. 21, 2023",,,Middleweight Division,man
Raimond Magomedaliev,52 (87%),8 (13%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,,,,"Mar. 13, 2024",,,Welterweight Division,man
Neil Magny,818 (58%),263 (19%),332 (23%),8 (29%),16 (57%),4 (14%),Active,"Brooklyn, United States","Elevation Fight Team - Denver, CO",,36,75.00,170.80,"Feb. 23, 2013",80.00,45.00,Welterweight Division,man
Mark Madsen,144 (64%),44 (20%),36 (16%),3 (25%),6 (50%),3 (25%),Retired,Denmark,"Fight Ready - Scottsdale, AZ",,39,68.00,154.60,"Sep. 28, 2019",72.00,39.00,Lightweight Division,man
Victor Madrigal,7 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,,,,"Mar. 13, 2024",,,Bantamweight Division,man
Pauline Macias,10 (83%),2 (17%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Los Angeles, United States",,,34,,115.00,"Mar. 13, 2024",,,Women's Strawweight Division,women
Ian Machado Garry,474 (92%),18 (3%),24 (5%),7 (50%),6 (43%),1 (7%),Active,"Dublin, Ireland",,,26,75.00,170.50,"Nov. 6, 2021",74.50,42.00,Welterweight Division,man
Caio Machado,160 (81%),35 (18%),2 (1%),4 (50%),2 (25%),2 (25%),Active,"State of São Paulo, Brazil",,MMA,29,76.00,247.00,"Nov. 18, 2023",78.00,45.00,Heavyweight Division,man
Veronica Hardy,192 (71%),38 (14%),39 (14%),1 (13%),5 (63%),2 (25%),Active,Venezuela,"Ankos MMA - Zabikowska 66, Lubon",MMA,28,64.00,125.50,"Sep. 3, 2016",64.00,38.00,Women's Flyweight Division,women
Tucker Lutz,255 (82%),30 (10%),25 (8%),6 (50%),4 (33%),2 (17%),Active,United States,Team Ground Control,Boxing,29,68.00,163.00,"May. 15, 2021",72.00,39.00,Featherweight Division,man
Vicente Luque,918 (88%),62 (6%),66 (6%),11 (48%),4 (17%),8 (35%),Active,"Westwood, United States","Blackzilians - Boca Raton, FL",Muay Thai,32,71.00,182.80,"Jul. 12, 2015",75.50,38.00,Welterweight Division,man
Iasmin Lucindo,124 (96%),4 (3%),1 (1%),8 (53%),4 (27%),3 (20%),Active,"Fortaleza, Brazil",,Striker,21,63.00,126.00,"Aug. 13, 2022",66.00,36.00,Women's Flyweight Division,women
Joseph Lowry,67 (94%),4 (6%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Philadelphia, United States",,,33,70.00,155.00,"Mar. 13, 2024",72.00,38.00,Lightweight Division,man
Caolán Loughran,33 (77%),0 (0%),10 (23%),5 (63%),1 (13%),2 (25%),Active,"Tyrone, Ireland",,Boxer,27,66.00,152.00,"Sep. 2, 2023",,,Bantamweight Division,man
Aaron Lott,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Diego Lopes,48 (69%),8 (11%),14 (20%),9 (39%),2 (9%),12 (52%),Active,"Manaus, Brazil",,Jiu-Jitsu,28,71.00,161.20,"May. 6, 2023",72.50,41.00,Featherweight Division,man
Bruno Lopes,20 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,30,,,"Mar. 13, 2024",,,Light Heavyweight Division,man
Ange Loosa,291 (77%),44 (12%),44 (12%),5 (56%),3 (33%),1 (11%),Active,Congo - Kinshasa,Sanford MMA,Kickboxer,30,70.00,190.00,"Apr. 16, 2022",74.00,40.00,Welterweight Division,man
Loma Lookboonmee,241 (53%),177 (39%),36 (8%),1 (14%),6 (86%),0 (0%),Active,Thailand,BangTao MMA,Striker,28,61.00,120.80,"Oct. 26, 2019",61.50,34.00,Women's Strawweight Division,women
Xiao Long,165 (71%),48 (21%),18 (8%),0 (0 %),0 (0 %),0 (0 %),Active,"Hunan, China",,,25,,150.20,"Jun. 9, 2022",,,Bantamweight Division,man
Christian Lohsen,72 (91%),3 (4%),4 (5%),0 (0 %),0 (0 %),0 (0 %),Active,"Lodi, United States",,,28,,155.50,"Mar. 13, 2024",,,Lightweight Division,man
James Llontop,,,,,,,Active,"Callao Region, Peru",,,23,,,"Mar. 13, 2024",,,,man
Tainara Lisboa,36 (60%),22 (37%),2 (3%),3 (60%),0 (0%),2 (40%),Active,"Santos, Brazil",,Brazilian Jiu-Jitsu,32,67.00,134.00,"May. 13, 2023",67.00,38.00,Women's Bantamweight Division,women
Ariane Lipski,387 (77%),74 (15%),42 (8%),6 (35%),7 (41%),4 (24%),Active,"Curitiba, Brazil",,Striker,30,66.00,126.00,"Jan. 19, 2019",67.00,38.50,Women's Flyweight Division,women
Philipe Lins,202 (84%),30 (12%),9 (4%),9 (50%),5 (28%),4 (22%),Active,Brazil,,Striker,37,74.00,205.50,"May. 2, 2020",78.00,42.50,Light Heavyweight Division,man
Austin Lingo,264 (99%),3 (1%),0 (0%),3 (33%),4 (44%),2 (22%),Active,"Dallas, United States",Fortis MMA,Boxing,29,70.00,157.00,"Feb. 8, 2020",70.00,39.00,Featherweight Division,man
Rodrigo Lidio,2 (67%),1 (33%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,33,,155.00,"Mar. 13, 2024",,,Lightweight Division,man
Derrick Lewis,243 (39%),109 (18%),265 (43%),22 (81%),4 (15%),1 (4%),Active,"New Orleans, United States",4oz Fight Club,Brawler,39,75.00,265.00,"Apr. 19, 2014",79.00,43.50,Heavyweight Division,man
Malik Lewis,55 (59%),35 (37%),4 (4%),0 (0 %),0 (0 %),0 (0 %),Active,Germany,,,27,,156.00,"Mar. 13, 2024",,,Lightweight Division,man
Natan Levy,200 (89%),10 (4%),14 (6%),0 (0%),5 (63%),3 (38%),Active,Israel,,Striker,32,69.00,155.00,"Nov. 20, 2021",71.00,39.00,Lightweight Division,man
Victoria Leonardo,94 (61%),21 (14%),38 (25%),1 (13%),3 (38%),4 (50%),Active,"Galloway, United States",Brett Mason's Elite Combat Academy,MMA,33,65.00,124.50,"Jan. 20, 2021",64.00,38.50,Women's Flyweight Division,women
Amanda Lemos,259 (71%),51 (14%),56 (15%),8 (57%),3 (21%),3 (21%),Active,"Belém, Brazil",Marajo Brothers,Boxing,36,64.00,115.50,"Jul. 16, 2017",65.00,36.00,Women's Strawweight Division,women
Claudia Leite,15 (79%),2 (11%),2 (11%),0 (0 %),0 (0 %),0 (0 %),Active,,,,26,,136.00,"Mar. 13, 2024",,,Women's Bantamweight Division,women
Andrea Lee,648 (81%),86 (11%),62 (8%),3 (23%),5 (38%),5 (38%),Active,"Atlanta, United States",Team Lee,Muay Thai,35,66.00,134.50,"May. 19, 2018",69.50,37.00,Women's Flyweight Division,women
JeongYeong Lee,43 (49%),26 (30%),19 (22%),4 (40%),3 (30%),3 (30%),Active,South Korea,,Brazilian Jiu-Jitsu,28,70.00,158.70,"Jun. 10, 2022",73.50,39.50,Featherweight Division,man
Chang Ho Lee,13 (17%),14 (19%),48 (64%),0 (0 %),0 (0 %),0 (0 %),Active,South Korea,,,29,,154.80,"Feb. 3, 2024",,,Bantamweight Division,man
Jung Hyun Lee,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,South Korea,,,20,,126.00,"Mar. 13, 2024",,,Flyweight Division,man
Kevin Lee,500 (59%),73 (9%),270 (32%),3 (16%),8 (42%),8 (42%),Active,"Detroit, United States","Xtreme Couture - Las Vegas, NV",Wrestling,30,70.00,191.00,"Feb. 2, 2014",77.00,39.00,Welterweight Division,man
Jordan Leavitt,114 (81%),16 (11%),10 (7%),2 (18%),3 (27%),6 (55%),Active,"Las Vegas, United States",,Freestyle,28,69.00,168.00,"Dec. 5, 2020",71.00,39.00,Lightweight Division,man
Ronnie Lawrence,81 (49%),7 (4%),79 (47%),4 (50%),4 (50%),0 (0%),Active,United States,,Freestyle,31,68.00,136.00,"Feb. 27, 2021",68.50,37.00,Bantamweight Division,man
Sandra Lavado,10 (77%),3 (23%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,,116.00,"Mar. 13, 2024",,,Women's Strawweight Division,women
Joe Lauzon,326 (54%),99 (16%),180 (30%),9 (32%),2 (7%),17 (61%),Active,"Brockton, United States","Lauzon MMA - Easton, MA",Boxing,39,70.00,154.80,"Sep. 23, 2006",71.50,40.50,Lightweight Division,man
Taylor Lapilus,223 (70%),74 (23%),21 (7%),4 (21%),9 (47%),6 (32%),Active,"Paris, France",cross Fight paris,MMA,31,66.00,136.00,"Apr. 11, 2015",73.00,43.00,Bantamweight Division,man
Austen Lane,18 (55%),0 (0%),15 (45%),11 (92%),0 (0%),1 (8%),Active,"Evanston, United States",,,35,78.00,245.50,"Jun. 24, 2023",80.00,44.00,Heavyweight Division,man
Nate Landwehr,318 (74%),92 (21%),21 (5%),8 (50%),6 (38%),2 (13%),Active,"Clarksville, United States",,Freestyle,35,69.00,145.30,"Jan. 25, 2020",72.00,39.00,Featherweight Division,man
Sean Lally,57 (92%),5 (8%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Falmouth, United States",,,32,72.00,170.50,"Mar. 12, 2024",74.50,40.50,Welterweight Division,man
Corinne Laframboise,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Longueuil, Canada",,,34,,,"Mar. 13, 2024",,,Women's Flyweight Division,women
Daniel Lacerda,81 (79%),6 (6%),15 (15%),5 (45%),0 (0%),6 (55%),Active,"Valença, Brazil",,Striker,27,66.00,136.60,"Oct. 23, 2021",70.00,38.00,Flyweight Division,man
Luan Lacerda,105 (97%),3 (3%),0 (0%),0 (0%),2 (17%),10 (83%),Active,"Macapá, Brazil",,Freestyle,30,67.00,136.00,"Jan. 21, 2023",71.50,38.50,Bantamweight Division,man
Guram Kutateladze,153 (77%),38 (19%),9 (5%),7 (58%),4 (33%),1 (8%),Active,Georgia,Allstarts Gym,MMA,31,71.00,168.40,"Oct. 17, 2020",72.00,40.00,Lightweight Division,man
Korey Kuppe,11 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Pontiac, United States",,,34,,170.00,"Mar. 13, 2024",,,Welterweight Division,man
Rizvan Kuniev,42 (54%),9 (12%),27 (35%),0 (0 %),0 (0 %),0 (0 %),Active,,,,30,76.00,265.50,"Mar. 13, 2024",76.00,41.00,Heavyweight Division,man
Sumit Kumar,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Hathras, India",,,22,,125.00,"Mar. 13, 2024",,,Flyweight Division,man
Mariusz Ksiazkiewicz,5 (36%),2 (14%),7 (50%),0 (0 %),0 (0 %),0 (0 %),Active,Germany,,,33,,184.50,"Mar. 13, 2024",,,Middleweight Division,man
Nikita Krylov,279 (51%),145 (27%),122 (22%),12 (40%),2 (7%),16 (53%),Active,,"Fight Club No1 - Moscow, Russia",Karate,31,75.00,213.00,"Sep. 1, 2013",77.50,44.50,Light Heavyweight Division,man
Kaynan Kruschewsky,34 (97%),1 (3%),0 (0%),4 (27%),2 (13%),9 (60%),Active,"Salvador, Brazil",,Muay Thai,32,72.00,154.00,"Nov. 4, 2023",73.00,43.50,Lightweight Division,man
James Krause,745 (91%),49 (6%),27 (3%),8 (30%),5 (19%),14 (52%),Active,"Newport News, United States",Glory MMA & Fitness,,37,74.00,171.00,"Jun. 15, 2013",73.50,40.50,Welterweight Division,man
Karolina Kowalkiewicz,951 (77%),243 (20%),40 (3%),1 (6%),12 (75%),3 (19%),Active,"Lodz, Poland",Gracie Barra Lodz,MMA,38,63.00,116.00,"Dec. 19, 2015",64.00,38.00,Women's Strawweight Division,women
Steven Koslow,8 (73%),1 (9%),2 (18%),0 (0%),0 (0%),6 (100%),Active,"Jacksonville, United States",,,26,67.50,136.00,"Dec. 10, 2022",69.00,39.00,Bantamweight Division,man
Roman Kopylov,313 (93%),17 (5%),6 (2%),11 (92%),1 (8%),0 (0%),Active,"Kemerovo Oblast, Russia",,,31,72.00,194.00,"Nov. 9, 2019",75.00,41.00,Middleweight Division,man
Josefine Knutsson,84 (50%),45 (27%),39 (23%),1 (10%),9 (90%),0 (0%),Active,"Stockholm, Sweden",,Striker,27,63.00,120.00,"Jun. 10, 2022",60.00,37.00,Women's Strawweight Division,women
Drakkar Klose,286 (56%),174 (34%),52 (10%),6 (46%),7 (54%),0 (0%),Active,"Kalamazoo, United States",The MMA Lab,,35,69.00,155.50,"Jan. 16, 2017",70.00,39.00,Lightweight Division,man
Felix Klinkhammer,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Neuss, Germany",,,30,,,"Mar. 13, 2024",,,Welterweight Division,man
Ludovit Klein,291 (79%),47 (13%),31 (8%),8 (42%),3 (16%),8 (42%),Active,Slovakia,,Boxing,29,67.00,169.70,"Sep. 26, 2020",72.50,41.00,Lightweight Division,man
Top Noi Kiwram,115 (78%),25 (17%),8 (5%),0 (0 %),0 (0 %),0 (0 %),Active,Thailand,,,30,,126.00,"Jun. 10, 2022",,,Flyweight Division,man
Kamuela Kirk,126 (78%),18 (11%),17 (11%),5 (42%),1 (8%),6 (50%),Active,United States,Siege MMA,MMA,29,70.00,155.50,"Jun. 5, 2021",75.00,41.00,Lightweight Division,man
Yusaku Kinoshita,81 (91%),0 (0%),8 (9%),4 (67%),0 (0%),2 (33%),Active,"Osaka , Japan",,Striker,23,72.00,184.40,"Feb. 4, 2023",71.50,41.00,Welterweight Division,man
HanSeul Kim,64 (82%),0 (0%),14 (18%),0 (0 %),0 (0 %),0 (0 %),Active,South Korea,,,33,,171.00,"Jun. 10, 2022",,,Welterweight Division,man
Sang Won Kim,20 (77%),1 (4%),5 (19%),0 (0 %),0 (0 %),0 (0 %),Active,South Korea,,,29,,160.30,"Mar. 13, 2024",,,Featherweight Division,man
Sangwook Kim,7 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,South Korea,,,29,,166.80,"Mar. 13, 2024",,,Lightweight Division,man
Pannie Kianzad,492 (79%),113 (18%),14 (2%),3 (19%),13 (81%),0 (0%),Active,Sweden,,MMA,32,67.00,136.00,"Nov. 30, 2018",68.00,39.00,Women's Bantamweight Division,women
WonBin Ki,19 (40%),0 (0%),28 (60%),0 (0 %),0 (0 %),0 (0 %),Active,"Jeongeup, South Korea",,,32,,155.50,"Jun. 9, 2022",,,Lightweight Division,man
Aliaskhab Khizriev,38 (79%),2 (4%),8 (17%),5 (36%),4 (29%),5 (36%),Active,"Makhachkala, Russia",,MMA,33,69.00,200.60,"Apr. 10, 2021",74.00,39.00,Middleweight Division,man
Casey Kenney,598 (89%),54 (8%),18 (3%),2 (13%),9 (56%),5 (31%),Active,"Portland, United States",,MMA,32,67.00,136.00,"Jul. 18, 2017",70.00,36.00,Bantamweight Division,man
Song Kenan,332 (86%),34 (9%),22 (6%),9 (47%),2 (11%),8 (42%),Active,"Hebei, China",Team Alpha Male,Striker,33,72.00,186.90,"Nov. 25, 2017",71.50,41.00,Welterweight Division,man
Brian Kelleher,343 (78%),29 (7%),68 (15%),8 (33%),6 (25%),10 (42%),Active,"Oceanside, United States",Long Island MMA,Freestyle,37,66.00,136.00,"Jun. 3, 2017",66.00,38.00,Bantamweight Division,man
Toshiomi Kazama,29 (66%),11 (25%),4 (9%),3 (30%),2 (20%),5 (50%),Active,Japan,,Brazilian Jiu-Jitsu,26,67.00,148.80,"Jun. 9, 2022",69.00,38.50,Bantamweight Division,man
Calvin Kattar,840 (93%),12 (1%),53 (6%),11 (48%),10 (43%),2 (9%),Active,"Methuen, United States",New England MMA,Freestyle,35,71.00,146.00,"Jul. 29, 2017",72.00,40.00,Featherweight Division,man
Brad Katona,324 (76%),70 (17%),30 (7%),1 (7%),9 (64%),4 (29%),Active,"Winnipeg, Canada",,,32,66.00,136.00,"Jul. 6, 2018",64.50,36.00,Bantamweight Division,man
Manel Kape,312 (89%),12 (3%),28 (8%),11 (61%),2 (11%),5 (28%),Active,Angola,AKA Thailand,MMA,30,65.00,129.50,"Feb. 6, 2021",68.00,39.00,Flyweight Division,man
Kyung Ho Kang,402 (75%),23 (4%),112 (21%),2 (11%),5 (26%),12 (63%),Active,South Korea,,Brazilian Jiu-Jitsu,36,69.00,155.40,"Mar. 2, 2013",73.00,39.00,Bantamweight Division,man
Koya Kanda,47 (89%),5 (9%),1 (2%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,153.50,"Mar. 13, 2024",,,Featherweight Division,man
Shuya Kamikubo,38 (55%),7 (10%),24 (35%),0 (0 %),0 (0 %),0 (0 %),Active,"Yokohama, Japan",,,30,,146.30,"Mar. 13, 2024",,,Bantamweight Division,man
Li Kaiwen,53 (64%),24 (29%),6 (7%),0 (0 %),0 (0 %),0 (0 %),Active,"Hunan, China",,,27,,156.40,"Feb. 3, 2024",,,Featherweight Division,man
Sim Kai Xiong,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,Singapore,,,25,,126.00,"Mar. 13, 2024",,,Flyweight Division,man
Lu Kai,33 (77%),1 (2%),9 (21%),0 (0 %),0 (0 %),0 (0 %),Active,"Miaoshou, China",,,29,,146.00,"Jun. 10, 2022",,,Featherweight Division,man
Oron Kahlon,11 (92%),1 (8%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Israel,,,38,,139.00,"Mar. 13, 2024",,,Bantamweight Division,man
Chan Sung Jung,529 (78%),57 (8%),92 (14%),6 (35%),3 (18%),8 (47%),Active,South Korea,"Fight Ready - Scottsdale, AZ",Kickboxer,36,67.00,162.60,"Mar. 27, 2011",72.00,38.50,Featherweight Division,man
Da Woon Jung,215 (78%),35 (13%),26 (9%),11 (73%),2 (13%),2 (13%),Active,"Daegu, South Korea","Korean Top Team - Seoul, South Korea",MMA,29,76.00,205.00,"Aug. 31, 2019",78.50,40.50,Light Heavyweight Division,man
Anshul Jubli,189 (79%),17 (7%),32 (13%),2 (29%),4 (57%),1 (14%),Active,India,,MMA,28,72.00,155.50,"Jun. 10, 2022",69.00,40.50,Lightweight Division,man
Dustin Joynson,5 (71%),2 (29%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Victoria, Canada",,,37,,241.50,"Mar. 13, 2024",,,Heavyweight Division,man
Kevin Jousset,13 (87%),2 (13%),0 (0%),4 (40%),5 (50%),1 (10%),Active,France,City Kickboxing,Judo,30,74.00,186.80,"Sep. 10, 2023",75.00,41.00,Welterweight Division,man
Charles Jourdain,672 (74%),162 (18%),70 (8%),8 (53%),2 (13%),5 (33%),Active,"Longueuil, Canada",,Striker,28,69.00,158.00,"May. 18, 2019",69.00,39.00,Featherweight Division,man
Jon Jones,958 (65%),248 (17%),262 (18%),10 (37%),10 (37%),7 (26%),Active,"Rochester, United States",,,35,76.00,248.00,"Aug. 9, 2008",84.50,45.00,Heavyweight Division,man
Justin Jones,25 (49%),22 (43%),4 (8%),4 (44%),0 (0%),5 (56%),Active,"San Diego, United States",,,35,0.00,185.50,"Mar. 13, 2024",,,Middleweight Division,man
Jamelle Jones,4 (100%),0 (0%),0 (0%),5 (71%),1 (14%),1 (14%),Active,United States,,,35,72.00,205.00,"Aug. 8, 2017",75.00,,Light Heavyweight Division,man
Michael Johnson,1285 (89%),100 (7%),57 (4%),9 (41%),11 (50%),2 (9%),Active,"St. Louis, United States",Jaco Hybrid Training Center,Boxing,37,70.00,167.00,"Dec. 5, 2010",73.50,41.00,Lightweight Division,man
